Species,District,Responsible Department,Location,Last Inspection Date,BRR,TR no.,Department Ref. No.,OVTNo,XCoordinate,YCoordinate,Type,Condition,MitigationMeasure
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道184号外,18/12/2020,N,LCSD/YTM/00031,LCSD YTM/27,LCSD YTM/27,835753,818224,OVT,呈现树洞(中等) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道182号外,18/12/2020,N,LCSD/YTM/00032,LCSD YTM/28,LCSD YTM/28,835754,818214,OVT,呈现树洞(中等) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道180号外,23/12/2020,N,LCSD/YTM/00033,LCSD YTM/29,LCSD YTM/29,835754,818208,OVT,呈现树洞(中等) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"弥敦道,尖沙咀警署前",24/11/2020,N,LCSD/YTM/00034,LCSD YTM/3,LCSD YTM/3,835738,818168,OVT,呈现树洞(中等) / 树枝/树干裂开(轻微) / 呈现病虫害征状(轻微) / 有明显破损 / 树冠不对称 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道172-174号外,23/12/2020,N,LCSD/YTM/00035,LCSD YTM/30,LCSD YTM/30,835756,818168,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"弥敦道,在圣安德烈教堂入口",23/12/2020,N,LCSD/YTM/00037,LCSD YTM/32,LCSD YTM/32,835758,818151,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道圣安德烈教堂外,23/12/2020,N,LCSD/YTM/00038,LCSD YTM/33,LCSD YTM/33,835759,818140,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道圣安德烈教堂外,15/1/2021,N,LCSD/YTM/00039,LCSD YTM/34,LCSD YTM/34,835759,818131,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道圣安德烈教堂外,15/1/2021,N,LCSD/YTM/00040,LCSD YTM/35,LCSD YTM/35,835760,818122,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道古物古迹办事处外,18/12/2020,N,LCSD/YTM/00041,LCSD YTM/36,LCSD YTM/36,835763,818074,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道古物古迹办事处外,18/12/2020,N,LCSD/YTM/00042,LCSD YTM/37,LCSD YTM/37,835764,818059,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道古物古迹办事处外,18/12/2020,N,LCSD/YTM/00043,LCSD YTM/38,LCSD YTM/38,835765,818048,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道美丽华商场外,15/1/2021,N,LCSD/YTM/00044,LCSD YTM/39,LCSD YTM/39,835767,818003,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"弥敦道,尖沙咀警署外",24/11/2020,N,LCSD/YTM/00045,LCSD YTM/4,LCSD YTM/4,835739,818159,OVT,呈现树洞(中等) / 树枝/树干裂开(轻微) / 呈现病虫害征状(轻微) / 有明显破损 / 树冠不对称 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,讯号山花园通往缅甸台的小径附近的斜坡上,21/1/2021,N,LCSD/YTM/00046,LCSD YTM/40,LCSD YTM/40,835961,817501,OVT,树枝/树干裂开(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,加连威老广场,21/1/2021,N,LCSD/YTM/00047,LCSD YTM/41,LCSD YTM/41,836275,817927,OVT,有明显破损 / ,持续监察 / 
大叶榕(黄葛树),油尖旺区,康乐及文化事务署,中间道儿童游乐场,21/1/2021,N,LCSD/YTM/00048,LCSD YTM/42,LCSD YTM/42,835971,817357,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,亚士厘道近北京道,21/1/2021,N,LCSD/YTM/00049,LCSD YTM/43,LCSD YTM/43,835623,817440,OVT,有明显破损 / ,持续监察 / 
樟,油尖旺区,建筑署,"九龙公园, 沿海防道",14/10/2020,N,ARCHSD/YTM/00026,SA1880_TS022,ARCHSD YTM/1,835727,817701,OVT,健康状况(一般) / ,持续监察 / 
樟,油尖旺区,建筑署,"九龙公园, 沿海防道",14/10/2020,N,ARCHSD/YTM/00027,SA1880_TS023,ARCHSD YTM/2,835709,817700,OVT,有明显破损 / 健康状况(一般) / ,持续监察 / 
樟,油尖旺区,建筑署,"九龙公园, 沿海防道",14/10/2020,N,ARCHSD/YTM/00029,SA1880_TS025,ARCHSD YTM/4,835672,817697,OVT,健康状况(一般) / ,持续监察 / 
樟,油尖旺区,建筑署,"九龙公园, 沿海防道",14/10/2020,N,ARCHSD/YTM/00030,SA6219_TS008,ARCHSD YTM/5,835637,817695,OVT,健康状况(一般) / ,持续监察 / 
樟,油尖旺区,建筑署,"九龙公园, 沿海防道",14/10/2020,N,ARCHSD/YTM/00049,SA6219_TS009,ARCHSD YTM/6,835618,817695,OVT,嫩枝枯死 (少於 5%) / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"弥敦道,在圣安德烈教堂对面",5/10/2020,N,LCSD/YTM/00055,LCSD YTM/5,LCSD YTM/5,835740,818141,OVT,呈现树洞(轻微) / 树枝/树干裂开(轻微) / 有明显破损 / ,持续监察 / 
樟,油尖旺区,建筑署,"九龙公园, 沿海防道",14/10/2020,N,ARCHSD/YTM/00033,SA1901_TS015,ARCHSD YTM/8,835580,817692,OVT,健康状况(一般) / ,持续监察 / 
樟,油尖旺区,建筑署,"九龙公园, 沿海防道",14/10/2020,N,ARCHSD/YTM/00034,SA1901_TS016,ARCHSD YTM/9,835562,817692,OVT,健康状况(一般) / ,持续监察 / 
樟,油尖旺区,建筑署,"九龙公园, 沿海防道",14/10/2020,N,ARCHSD/YTM/00036,SA1901_TS018,ARCHSD YTM/11,835544,817691,OVT,健康状况(一般) / ,持续监察 / 
樟,油尖旺区,建筑署,九龙公园径儿童游乐场,5/10/2020,N,ARCHSD/YTM/00037,SA1904_TS014,ARCHSD YTM/12,835509,817688,OVT,有明显破损 / ,持续监察 / 
樟,油尖旺区,建筑署,九龙公园径儿童游乐场,5/10/2020,N,ARCHSD/YTM/00057,SA1904_TS015,ARCHSD YTM/13,835475,817685,OVT,呈现树洞(轻微) / 健康状况(一般) / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"弥敦道栢丽购物大道,在圣安德烈教堂对面",5/10/2020,N,LCSD/YTM/00061,LCSD YTM/6,LCSD YTM/6,835741,818123,OVT,呈现树洞(中等) / 树枝/树干裂开(轻微) / 有明显破损 / ,持续监察 / 
大叶合欢,油尖旺区,康乐及文化事务署,"九龙公园,瑰丽花园东北面边缘",18/1/2021,N,LCSD/YTM/00062,LCSD YTM/60,LCSD YTM/60,835580,817786,OVT,呈现树洞(中等) / 树枝/树干裂开(轻微) / 有明显破损 / ,持续监察 / 
腊肠树(猪肠豆),油尖旺区,康乐及文化事务署,九龙公园近荷花池,25/1/2021,N,LCSD/YTM/00064,LCSD YTM/62,LCSD YTM/62,835624,817773,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
腊肠树(猪肠豆),油尖旺区,康乐及文化事务署,九龙公园近荷花池,25/1/2021,N,LCSD/YTM/00065,LCSD YTM/63,LCSD YTM/63,835627,817773,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"九龙公园,苗圃内",25/1/2021,N,LCSD/YTM/00066,LCSD YTM/64,LCSD YTM/64,835670,817719,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"九龙公园,雕塑花园的西南端",15/1/2021,Y,LCSD/YTM/00068,LCSD YTM/66,LCSD YTM/66,835676,817777,OVT,树枝/树干裂开(轻微) / 呈现真菌子实体(少量) / 呈现病虫害征状(中等) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"九龙公园,雕塑公园东面边缘",23/2/2021,N,LCSD/YTM/00069,LCSD YTM/67,LCSD YTM/67,835705,817824,OVT,有明显破损 / ,持续监察 / 
朴树,油尖旺区,康乐及文化事务署,九龙公园近迷宫,18/1/2021,N,LCSD/YTM/00070,LCSD YTM/69,LCSD YTM/69,835690,817858,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道栢丽购物大道111-181号外,7/12/2020,N,LCSD/YTM/00071,LCSD YTM/7,LCSD YTM/7,835742,818104,OVT,有明显破损 / ,持续监察 / 
大叶合欢,油尖旺区,康乐及文化事务署,"九龙公园,水景花园内",23/2/2021,N,LCSD/YTM/00072,LCSD YTM/70,LCSD YTM/70,835623,817848,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"九龙公园,近通往皇家太平洋酒店的行人天桥入口",5/2/2021,N,LCSD/YTM/00074,LCSD YTM/73,LCSD YTM/73,835443,817908,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,建筑署,"九龙公园, 鸟湖",5/10/2020,N,ARCHSD/YTM/00039,SA2001_TS005,ARCHSD YTM/14,835521,817914,OVT & SWT,有明显破损 / ,安装缆索或支撑物 / 持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"九龙公园,斜坡的下方,面向鸟湖",25/1/2021,N,LCSD/YTM/00077,LCSD YTM/77,LCSD YTM/77,835546,817913,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"九龙公园,靠近暸望台的小径边缘",5/2/2021,N,LCSD/YTM/00078,LCSD YTM/79,LCSD YTM/79,835515,817953,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"九龙公园,历奇乐园,附在洗手间的墙上",25/2/2021,N,LCSD/YTM/00080,LCSD YTM/82,LCSD YTM/82,835484,817967,OVT,有明显破损 / ,持续监察 / 
鸡蛋花,油尖旺区,康乐及文化事务署,"九龙公园,中国花园内",18/9/2020,N,LCSD/YTM/00081,LCSD YTM/88,LCSD YTM/88,835641,817962,OVT,呈现树洞(中等) / 有明显破损 / ,持续监察 / 
大叶合欢,油尖旺区,康乐及文化事务署,"九龙公园,中国花园南面边缘",29/1/2021,N,LCSD/YTM/00082,LCSD YTM/90,LCSD YTM/90,835625,817911,OVT,树枝/树干裂开(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"九龙公园,中国花园南面边缘",24/2/2021,Y,LCSD/YTM/00083,LCSD YTM/91,LCSD YTM/91,835632,817908,OVT,呈现树洞(轻微) / 树枝/树干裂开(中等) / 呈现真菌子实体(少量) / 呈现病虫害征状(中等) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"九龙公园,中国花园东面边缘",25/2/2021,N,LCSD/YTM/00084,LCSD YTM/92,LCSD YTM/92,835690,817950,OVT,呈现树洞(严重) / 呈现真菌子实体(中量) / 有明显破损 / ,持续监察 / 
大叶合欢,油尖旺区,康乐及文化事务署,"九龙公园,中国花园东面边缘",25/2/2021,N,LCSD/YTM/00085,LCSD YTM/94,LCSD YTM/94,835702,817932,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"九龙公园,近小型足球场观众席",30/12/2020,Y,LCSD/YTM/00086,LCSD YTM/97,LCSD YTM/97,835547,818183,OVT,呈现树洞(中等) / 树枝/树干裂开(轻微) / 有明显破损 / ,持续监察 / 
樟,沙田区,康乐及文化事务署,"大埔公路,近赤泥坪巴士站",18/11/2020,N,LCSD/ST/00001,LCSD ST/1,LCSD ST/1,838795,831043,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(严重) / 呈现腐烂(严重) / 有枯枝 / 有明显破损 / 树冠不对称 / 健康状况(一般) / ,适当修剪树木枝条 / 持续监察 / 
大叶榕(黄葛树),中西区,康乐及文化事务署,"薄扶林道旧段,在薄扶林游乐场外面",10/10/2020,N,LCSD/CW/00003,LCSD CW/7,LCSD CW/7,831586,815367,OVT,健康状况(一般) / ,持续监察 / 
榕树(细叶榕),中西区,康乐及文化事务署,薄扶林道游乐场,21/10/2020,N,LCSD/CW/00004,LCSD CW/8,LCSD CW/8,831584,815452,OVT,呈现树洞(轻微) / 呈现腐烂 (轻微) / 有枯枝 / 健康状况(一般) / ,适当修剪树木枝条 / 控制病虫害 / 持续监察 / 
榕树(细叶榕),中西区,康乐及文化事务署,般咸道港铁西营盘站C出口外,16/11/2020,N,LCSD/CW/00006,LCSD CW/15,LCSD CW/15,832799,816165,OVT,呈现树洞(轻微) / 健康状况(一般) / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,建筑署,"香港佐治五世纪念公园, 东边街, 斜坡编号 11SW-A/R471",30/10/2020,N,ARCHSD/CW/00164,SA1711_TS001,ARCHSD CW/12,832860,816329,OVT & SWT,呈现真菌子实体(少量) / 有枯枝 / 健康状况(一般) / ,适当修剪树木枝条 / 控制病虫害 / 
榕树(细叶榕),中西区,建筑署,"香港佐治五世纪念公园, 医院道, 斜坡编号 11SW-A/R469",30/10/2020,N,ARCHSD/CW/00165,SA1709_TS006,ARCHSD CW/13,832877,816341,OVT & SWT,有枯枝 / 健康状况(一般) / ,适当修剪树木枝条 / 
榕树(细叶榕),中西区,康乐及文化事务署,"卜公花园,银禧大厦对面",29/1/2021,N,LCSD/CW/00009,LCSD CW/36,LCSD CW/36,833336.27,816105.68,OVT,树冠不对称 / 健康状况(一般) / ,持续监察 / 
榕树(细叶榕),中西区,康乐及文化事务署,"卜公花园,近东街",29/1/2021,N,LCSD/CW/00010,LCSD CW/37,LCSD CW/37,833358,816139,OVT,呈现真菌子实体(少量) / 有枯枝 / 健康状况(一般) / ,适当修剪树木枝条 / 控制病虫害 / 持续监察 / 
大叶榕(黄葛树),中西区,建筑署,"上亚厘毕道与亚毕诺道交界, 斜坡编号 11SW-B/CR635",22/10/2020,N,ARCHSD/CW/00178,SA1853_TS026,ARCHSD CW/26,833980,815570,OVT,呈现树洞(中等) / 健康状况(一般) / ,
白兰,中西区,康乐及文化事务署,"香港动植物公园,在己连拿利的边缘",4/2/2021,N,LCSD/CW/00012,LCSD CW/43,LCSD CW/43,833927,815503,OVT,呈现树洞(中等) / 有明显破损 / 健康状况(一般) / ,持续监察 / 
东方乌檀,中西区,康乐及文化事务署,"香港动植物公园,近通往旧花园的隧道",19/1/2021,N,LCSD/CW/00013,LCSD CW/48,LCSD CW/48,834069,815476,OVT,呈现树洞(轻微) / 健康状况(一般) / ,持续监察 / 
福木,中西区,康乐及文化事务署,"香港动植物公园, 靠近动物笼舍",18/8/2020,N,LCSD/CW/00014,LCSD CW/52,LCSD CW/52,834049,815529,OVT,呈现树洞(轻微) / 呈现真菌子实体(少量) / 健康状况(一般) / ,控制病虫害 / 持续监察 / 
香椿,中西区,康乐及文化事务署,"香港动植物公园,近雅宾利道边缘",18/12/2020,N,LCSD/CW/00015,LCSD CW/53,LCSD CW/53,834040,815399,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 健康状况(一般) / ,控制病虫害 / 持续监察 / 
厚叶黄花树,中西区,康乐及文化事务署,"香港动植物公园,近雅宾利道的小径边缘",22/12/2020,N,LCSD/CW/00016,LCSD CW/55,LCSD CW/55,834065,815334,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(中等) / 健康状况(一般) / ,控制病虫害 / 持续监察 / 
紫檀,中西区,康乐及文化事务署,"香港动植物公园,鸟舍的鸟笼内",13/1/2021,N,LCSD/CW/00017,LCSD CW/57,LCSD CW/57,834126,815343,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 健康状况(一般) / ,控制病虫害 / 持续监察 / 
球花豆,中西区,建筑署,"香港动植物公园,近花园道的边缘, 斜坡编号 11SW-B/C476",30/10/2020,N,ARCHSD/CW/00180,SA1827_TS001,ARCHSD CW/28,834171,815342,OVT,呈现树洞(轻微) / 有枯枝 / 有明显破损 / 健康状况(一般) / ,适当修剪树木枝条 / 
槐,中西区,康乐及文化事务署,"香港动植物公园,近喷水池的东面边缘",5/1/2021,N,LCSD/CW/00020,LCSD CW/62,LCSD CW/62,834205,815431,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 树枝/树干裂开(轻微) / 健康状况(一般) / ,
滇刺枣,中西区,康乐及文化事务署,"香港动植物公园,近喷水池的东面边缘",7/1/2021,N,LCSD/CW/00021,LCSD CW/64,LCSD CW/64,834208,815447,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(中等) / 健康状况(一般) / ,
异叶南洋杉,中西区,建筑署,"香港动植物公园, 面向上亚厘毕道",22/10/2020,N,ARCHSD/CW/00210,SA1860_TS058,ARCHSD CW/29,834171,815489,OVT,健康状况(一般) / ,
厚叶黄花树,中西区,康乐及文化事务署,"香港动植物公园,近雅宾利道的办事处",13/1/2021,N,LCSD/CW/00023,LCSD CW/66,LCSD CW/66,834120,815498,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(中等) / 树冠不对称 / 健康状况(一般) / ,控制病虫害 / 持续监察 / 
樟,中西区,康乐及文化事务署,"香港动植物公园,近八角形凉亭",19/1/2021,N,LCSD/CW/00024,LCSD CW/68,LCSD CW/68,834106,815444,OVT,呈现树洞(中等) / 有明显破损 / 健康状况(一般) / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,康乐及文化事务署,"花园道,花园道抽水站对面",16/12/2020,Y,LCSD/CW/00025,LCSD CW/72,LCSD CW/72,834212,815343,OVT,呈现病虫害征状(严重) / 有明显破损 / 树冠不对称 / 健康状况(差) / ,控制病虫害 / 持续监察 / 
榕树(细叶榕),中西区,康乐及文化事务署,坚尼地道与花园道交界,9/9/2020,N,LCSD/CW/00027,LCSD CW/75,LCSD CW/75,834250,815366,OVT,呈现树洞(严重) / 有枯枝 / 树冠不对称 / 健康状况(一般) / ,
榕树(细叶榕),中西区,康乐及文化事务署,花园道圣约翰大厦旁,4/9/2020,N,LCSD/CW/00028,LCSD CW/79,LCSD CW/79,834424,815428,OVT,呈现树洞(中等) / 树冠不对称 / 健康状况(一般) / ,持续监察 / 
榕树(细叶榕),中西区,康乐及文化事务署,花园道与下亚厘毕道交界,5/10/2020,N,LCSD/CW/00029,LCSD CW/81,LCSD CW/81,834462,815478,OVT,呈现腐烂 (轻微) / 呈现真菌子实体(少量) / 有明显破损 / 健康状况(一般) / ,适当修剪树木枝条 / 安装缆索或支撑物 / 控制病虫害 / 持续监察 / 
榕树(细叶榕),中西区,律政司,中区政府合署中座,21/9/2020,N,DOJ/CW/00001,LCSD CW085,DOJ CW/1,834434,815572,OVT,嫩枝枯死 (少於 5%) / 有明显破损 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / 其他 / ,适当修剪树木枝条 / 
幌伞枫(火通木),中西区,建筑署,"炮台里, 斜坡编号 11SW-B/FR7",16/10/2020,N,ARCHSD/CW/00188,SA1943_TS085,ARCHSD CW/35,834365,815662,OVT,有枯枝 / 有明显破损 / 健康状况(一般) / ,适当修剪树木枝条 / 
木棉,中西区,建筑署,"香港公园,香港壁球中心外的斜坡上, 斜坡编号 11SW-B/FR167",23/10/2020,N,ARCHSD/CW/00189,SA1885_TS001,ARCHSD CW/36,834567,815401,OVT,有明显破损 / 健康状况(一般) / ,适当修剪树木枝条 / 
大叶榕(黄葛树),中西区,康乐及文化事务署,"香港公园,太极园围墙外",3/11/2020,N,LCSD/CW/00035,LCSD CW/103,LCSD CW/103,834623,815295,OVT,嫩枝枯死 (少於 5%) / 健康状况(一般) / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,建筑署,"香港公园,奥林匹克广场旁的斜坡侧, 斜坡编号 11SW-B/FR260",23/10/2020,N,ARCHSD/CW/00191,SA1915_TS035,ARCHSD CW/38,834651,815315,OVT,健康状况(一般) / ,
榕树(细叶榕),中西区,建筑署,"香港公园,奥林匹克广场旁的斜坡侧, 斜坡编号 11SW-B/FR260",23/10/2020,N,ARCHSD/CW/00192,SA1915_TS022,ARCHSD CW/39,834641,815357,OVT,健康状况(一般) / ,
木棉,中西区,建筑署,"香港公园,观鸟园辅助设施前的斜坡上, 斜坡编号 11SW-B/FR268",23/10/2020,N,ARCHSD/CW/00193,SA1919_TS004,ARCHSD CW/40,834694,815291,OVT,有枯枝 / 有明显破损 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 
榕树(细叶榕),中西区,康乐及文化事务署,"添华道,近中环军营",25/8/2020,N,LCSD/CW/00045,LCSD CW/128,LCSD CW/128,835012,815904,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 健康状况(一般) / ,
榕树(细叶榕),中西区,康乐及文化事务署,"添美道,近中信大厦",8/9/2020,N,LCSD/CW/00046,LCSD CW/129,LCSD CW/129,835240,815781,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 树冠不对称 / 健康状况(一般) / ,适当修剪树木枝条 / 控制病虫害 / 持续监察 / 
榕树(细叶榕),中西区,康乐及文化事务署,"万茂里,近皇后大道东",16/2/2021,N,LCSD/CW/00047,LCSD CW/130,LCSD CW/130,835344,815383,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 健康状况(一般) / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,康乐及文化事务署,山顶道近歌赋山里交界,12/11/2020,N,LCSD/CW/00048,LCSD CW/133,LCSD CW/133,833729,814128,OVT,呈现树洞(中等) / 健康状况(一般) / ,持续监察 / 
榕树(细叶榕),北区,康乐及文化事务署,北区公园近智昌路,2/11/2020,Y,LCSD/N/00003,LCSD N/31,LCSD N/31,831477,840077,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(中等) / 呈现腐烂(中等) / 呈现病虫害征状(中等) / 有明显破损 / 树冠不对称 / 健康状况(一般) / ,持续监察 / 
樟,南区,康乐及文化事务署,"薄扶林道,邻近香港大学网球场",21/9/2020,N,LCSD/S/00002,LCSD S/1,LCSD S/1,831861,813898,OVT,呈现树洞(轻微) / 健康状况(一般) / ,控制病虫害 / 持续监察 / 
印度榕(印度橡树),南区,康乐及文化事务署,中湾泳滩,13/1/2021,N,LCSD/S/00003,LCSD S/13,LCSD S/13,838486,810093,OVT,呈现树洞(轻微) / 树枝/树干裂开(轻微) / 有明显破损 / 健康状况(一般) / ,适当修剪树木枝条 / 持续监察 / 
木麻黄,南区,康乐及文化事务署,南湾泳滩,11/1/2021,N,LCSD/S/00004,LCSD S/16,LCSD S/16,838457,809641,OVT,呈现树洞(中等) / 树枝/树干裂开(轻微) / 有明显破损 / 健康状况(一般) / ,
榄仁树,南区,康乐及文化事务署,"赤柱,新八间休憩处",14/11/2020,N,LCSD/S/00007,LCSD S/34,LCSD S/34,840023,808694,OVT,嫩枝枯死 (少於 5%) / 树冠不对称 / 健康状况(一般) / ,
岭南山竹子(黄牙果),南区,康乐及文化事务署,"大潭道,大潭花园11号外",18/11/2020,N,LCSD/S/00008,LCSD S/38,LCSD S/38,840254,809643,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(中等) / 树冠不对称 / 健康状况(一般) / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,康乐及文化事务署,花园道与上亚厘毕道交界,7/1/2021,Y,LCSD/CW/00051,LCSD CW/77,LCSD CW/77,834311,815420,OVT,呈现病虫害征状(严重) / 健康状况(差) / ,控制病虫害 / 持续监察 / 
樟,沙田区,康乐及文化事务署,松岭路,11/11/2020,N,LCSD/ST/00002,LCSD ST/9,LCSD ST/9,836654,826511,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(严重) / 呈现腐烂(严重) / 有枯枝 / 有明显破损 / 树冠不对称 / 健康状况(一般) / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),沙田区,康乐及文化事务署,"田心,近92号屋",6/10/2020,Y,LCSD/ST/00003,LCSD ST/13,LCSD ST/13,836435,825524,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 呈现腐烂 (轻微) / 呈现真菌子实体(少量) / 有明显破损 / 树冠不对称 / 健康状况(一般) / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),沙田区,康乐及文化事务署,车公庙路游乐场,2/12/2020,N,LCSD/ST/00004,LCSD ST/14,LCSD ST/14,836278,825593,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 呈现腐烂 (轻微) / 有明显破损 / 树冠不对称 / 健康状况(好) / ,持续监察 / 
榕树(细叶榕),大埔区,康乐及文化事务署,汀角村儿童游乐场,12/11/2020,N,LCSD/TP/00001,LCSD TP/19,LCSD TP/19,840650,837047,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 呈现腐烂 (轻微) / 树枝/树干裂开(轻微) / 呈现真菌子实体(少量) / 呈现病虫害征状(轻微) / 有明显破损 / 树冠不对称 / 健康状况(一般) / ,控制病虫害 / 持续监察 / 
大叶榕(黄葛树),北区,康乐及文化事务署,旧粉岭裁判署回旋处,11/11/2020,N,LCSD/N/00004,LCSD N/16,LCSD N/16,832560,839474,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(中等) / 呈现腐烂(中等) / 有明显破损 / 树冠不对称 / 健康状况(一般) / ,持续监察 / 
樟,北区,康乐及文化事务署,粉岭楼路近粉岭楼花园,8/10/2020,N,LCSD/N/00005,LCSD N/10,LCSD N/10,832566,839838,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 树枝/树干裂开(轻微) / 有明显破损 / 健康状况(一般) / ,持续监察 / 
大叶榕(黄葛树),北区,康乐及文化事务署,旧粉岭裁判署回旋处,11/11/2020,N,LCSD/N/00006,LCSD N/15,LCSD N/15,832551,839472,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(中等) / 呈现腐烂(中等) / 树枝/树干裂开(轻微) / 有明显破损 / 树冠不对称 / 健康状况(一般) / ,持续监察 / 
大叶榕(黄葛树),北区,康乐及文化事务署,旧粉岭裁判署回旋处,9/11/2020,N,LCSD/N/00007,LCSD N/17,LCSD N/17,832569,839474,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(中等) / 呈现腐烂(中等) / 有明显破损 / 树冠不对称 / 健康状况(一般) / ,持续监察 / 
榕树(细叶榕),北区,康乐及文化事务署,"马会道,在粉岭裁判署对面",7/9/2020,N,LCSD/N/00008,LCSD N/18,LCSD N/18,832505,839544,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 呈现腐烂 (轻微) / 有明显破损 / 树冠不对称 / 健康状况(好) / ,持续监察 / 
樟,北区,康乐及文化事务署,北区公园近新运路,2/11/2020,N,LCSD/N/00009,LCSD N/34,LCSD N/34,831533,840013,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(中等) / 呈现腐烂(中等) / 有明显破损 / 树冠不对称 / 健康状况(一般) / ,持续监察 / 
